,Crop2014,Acres,FID,County,PPIC_Regio,Crop_PPIC,Price,Rotations,AdjustedPr,FieldCropP,WaterConsu,SavedWater,TNC,Krat,Kitfox,Corridors,CPAD,SavedWat_1,TNC_Norm,Krat_Norm,Kitfox_Nor,Corridors_,CPAD_Norm,SavedWat_2,TNC_Total,Krat_Total,Kitfox_Tot,Corridor_1,CPAD_Total,geometry,outcome
0,Mixed Pasture,34.35395879,19120,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,646.27,4.70631093,161.68,33.56892478,1.007067743,15.10601615,33.56892478,33.56892478,0.917638233741436,0.976470196413542,0.038231056198927,0.48160001678153,0.976253873797936,0.975917579184174,31.524506066081695,33.54561688725404,1.313388129156118,16.544867129775977,33.53818534903216,33.526632297729684,"POLYGON Z ((-13396064.15272469 4402192.941271115 0, -13396084.34988615 4402184.265229686 0, -13396103.22261713 4402185.504634991 0, -13396135.00819042 4402199.138479732 0, -13396165.13830803 4402228.885047446 0, -13396227.38523502 4402320.603993233 0, -13396228.37847634 4402326.801196178 0, -13396227.38535828 4402342.500992079 0, -13396225.39855402 4402359.853469134 0, -13396223.74314014 4402383.816266609 0, -13396222.41881151 4402394.145002959 0, -13396218.77662937 4402406.126548392 0, -13396189.9708304 4402437.939422512 0, -13396060.51057707 4402589.568495714 0, -13395928.07043125 4402737.06802075 0, -13395908.86653092 4402759.379015331 0, -13395857.54600401 4402794.498285954 0, -13395845.62634901 4402801.108945485 0, -13395836.35564366 4402802.348390745 0, -13395827.7470544 4402798.630013529 0, -13395534.7230464 4402497.433997731 0, -13395530.41868248 4402490.82338626 0, -13395531.08088238 4402485.039242018 0, -13395536.04735686 4402477.189248919 0, -13395979.72201401 4402260.69738404 0, -13396007.86558465 4402248.302988652 0, -13396021.77187437 4402239.213708282 0, -13396039.98238477 4402216.490569502 0, -13396064.15272469 4402192.941271115 0))",0.7276851593529243
1,Mixed Pasture,1.49473584,32681,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,28.12,4.70631093,7.03,1.44996126,0.449487991,0.753979855,0.0,1.44996126,0.917028571960861,0.969371624360217,0.392182351700276,0.552469915357053,0.0,0.968823024450819,1.370715472813918,1.448954509210233,0.586209016901887,0.825796583005954,0.0,1.448134497263836,"POLYGON Z ((-13392731.30409614 4401993.939107284 0, -13392769.71170832 4401991.047179071 0, -13392777.32706884 4401995.178433373 0, -13392776.66477445 4402130.688636803 0, -13392772.02944715 4402132.754376642 0, -13392726.66872721 4402132.754355737 0, -13392698.85624811 4402131.928104973 0, -13392696.53863939 4402128.622935223 0, -13392695.87634482 4402124.904701198 0, -13392693.22751204 4402119.120727009 0, -13392692.56543636 4402065.825417918 0, -13392693.88969344 4402060.454564631 0, -13392697.53180834 4402054.670491581 0, -13392705.80924613 4402051.778591411 0, -13392719.3844994 4402050.95223315 0, -13392728.65520864 4402048.886657123 0, -13392731.63511208 4402046.820854506 0, -13392731.30409614 4401993.939107284 0))",0.6333125813048711
2,Mixed Pasture,16.9784844,8759,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,319.4,4.70631093,79.91,16.13844368,2.824227644,8.149914058,0.0,16.13844368,0.917686199933557,0.94986324476855,0.21693777468316,0.525735675146602,0.0,0.949325685305362,15.580920829667171,16.127238283436206,3.683274623228748,8.92619495900005,0.0,16.118111338476403,"POLYGON Z ((-13392571.32735164 4401391.31186466 0, -13392572.91666652 4401389.824594651 0, -13392775.94742416 4401427.996575027 0, -13392777.9341618 4401432.95379181 0, -13392779.52343951 4401631.747182575 0, -13392774.35829181 4401890.531238038 0, -13392771.97427087 4401895.488695955 0, -13392766.41174102 4401896.976044612 0, -13392610.66207193 4401898.959127687 0, -13392607.88086327 4401984.726088441 0, -13392604.70231359 4401987.700799679 0, -13392595.16665073 4401988.692341387 0, -13392568.14885784 4401988.692251606 0, -13392563.77832612 4401985.717694221 0, -13392562.18905065 4401979.768479762 0, -13392570.53264813 4401417.585915416 0, -13392571.32735164 4401391.31186466 0))",0.5932580966395385
3,Mixed Pasture,14.12417284,5526,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,265.7,4.699085771,66.37,0.0,0.0,7.175705174,13.41253304,13.41253304,0.916222144817474,0.0,0.0,0.556435592946071,0.948745897465295,0.948419078649299,12.94087993323752,0.0,0.0,7.859192489098193,13.400251037040745,13.395634991596252,"POLYGON Z ((-13345447.84714422 4353071.460187922 0, -13345502.94219841 4353068.82836854 0, -13345650.21573512 4353071.460292809 0, -13345660.81093178 4353066.196223337 0, -13345661.87041457 4353041.192014841 0, -13345669.28719123 4353024.083765686 0, -13345764.64400541 4353014.871782118 0, -13345774.17970321 4353068.828250512 0, -13345780.53683472 4353218.855006727 0, -13345772.06075472 4353245.175640642 0, -13345771.95506435 4353245.765901777 0, -13345572.87063687 4353307.029590268 0, -13345437.25192653 4353353.091175542 0, -13345389.57338453 4353368.883858976 0, -13345399.10904561 4353321.50615554 0, -13345442.54960616 4353072.776302808 0, -13345447.84714422 4353071.460187922 0))",0.5616371189796899
4,Mixed Pasture,22.31922594,4289,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,419.87,4.699085771,104.88,0.0,0.0,11.07427431,21.29668137,21.29668137,0.916232178248134,0.0,0.0,0.543437354281436,0.953311724318973,0.952983332691826,20.449592999818456,0.0,0.0,12.129101094443191,21.277179766326142,21.269850319403055,"POLYGON Z ((-13345790.07263336 4353243.859679924 0, -13345792.19161281 4353020.135747088 0, -13345795.37018576 4353014.871692951 0, -13345797.48920251 4353009.607748158 0, -13345894.96515426 4353010.923700709 0, -13345896.0247518 4353026.715900186 0, -13345906.62002611 4353053.036042444 0, -13345919.33429818 4353056.984101252 0, -13345939.46514627 4353047.772045516 0, -13345944.76265559 4353035.927824683 0, -13345951.11976778 4353016.187891182 0, -13345958.53650023 4353006.975686876 0, -13345985.02449938 4352995.131725404 0, -13346003.03639791 4352972.759573188 0, -13346026.34585678 4352976.707553149 0, -13346075.08381883 4352988.551687898 0, -13346081.44099545 4352960.915577792 0, -13346085.67909805 4352959.5995409 0, -13346261.5597013 4353009.607795672 0, -13346277.45256698 4353016.18780368 0, -13346279.57145757 4353058.300155624 0, -13346278.54823812 4353301.055775417 0, -13346260.50012236 4353313.609737818 0, -13346250.96442226 4353320.190155559 0, -13346243.5478313 4353320.190107222 0, -13346191.6312024 4353312.29381302 0, -13345790.07263336 4353243.859679924 0))",0.5609940982567282
5,Mixed Pasture,6.10610274,7660,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,114.87,4.699085771,28.69,0.0,0.0,2.508538077,5.701222903,5.701222903,0.916132797275205,0.0,0.0,0.449955877634686,0.932837600917072,0.932516262104369,5.594000983645991,0.0,0.0,2.747476817304259,5.696002230934761,5.694040103130046,"POLYGON Z ((-13345722.26331561 4352584.545651874 0, -13345756.16794882 4352579.281851226 0, -13345777.35829765 4352583.229703989 0, -13345778.4178234 4352618.760637436 0, -13345773.06743106 4352877.934473932 0, -13345670.34657475 4352892.483606591 0, -13345636.44187765 4352892.483730575 0, -13345534.72787116 4352913.539652924 0, -13345532.60890964 4352905.643547496 0, -13345543.20404267 4352880.639847059 0, -13345601.47777479 4352820.10427394 0, -13345667.16815438 4352746.409404084 0, -13345700.01314493 4352684.558809098 0, -13345722.26331561 4352584.545651874 0))",0.5385737563218888
6,Mixed Pasture,9.93256732,8198,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,186.85,4.699085771,46.67,0.0,0.0,2.726800284,9.402759599,9.402759599,0.916153560541593,0.0,0.0,0.300680422875974,0.945792672398852,0.945466870893731,9.099756915537066,0.0,0.0,2.986528542021677,9.394149389364305,9.390913343981737,"POLYGON Z ((-13345552.73970786 4352579.281737348 0, -13345704.2513062 4352577.965879318 0, -13345700.01318502 4352595.073298807 0, -13345673.52528901 4352689.822561434 0, -13345633.26334612 4352752.989334979 0, -13345519.89453506 4352880.639763835 0, -13345496.58504797 4352892.483695701 0, -13345480.69231662 4352893.799707633 0, -13345443.35455021 4352895.320150563 0, -13345344.01402787 4352809.576346357 0, -13345366.26397306 4352783.256754179 0, -13345515.65649376 4352614.812623831 0, -13345552.73970786 4352579.281737348 0))",0.5180155877850251
7,Mixed Pasture,37.45125234,5861,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,704.54,4.699085771,175.99,0.0,0.0,16.30058047,36.22351216,11.22928877,0.9162492596014,0.0,0.0,0.476705392166469,0.9663319550927,0.299459714292167,34.3146822276702,0.0,0.0,17.853213933865103,36.19034189438224,11.215141325620237,"POLYGON Z ((-13345142.70483536 4353039.876029254 0, -13345344.0140047 4352820.10424118 0, -13345351.43061234 4352824.052217347 0, -13345359.90688265 4352830.632196562 0, -13345430.8793443 4352895.828185336 0, -13345461.62096696 4352924.067532764 0, -13345459.50180191 4352943.807585175 0, -13345454.20431346 4352958.283565357 0, -13345445.72808714 4352979.339730921 0, -13345423.47814441 4353046.455962208 0, -13345385.33543834 4353245.175741129 0, -13345376.85909806 4353271.496493559 0, -13345373.68061451 4353280.708745891 0, -13345362.02584703 4353295.185133879 0, -13345362.0258391 4353310.9777304 0, -13345366.26392191 4353326.770216623 0, -13345364.14487023 4353347.827122472 0, -13345359.90676042 4353363.619552181 0, -13345073.83604836 4353474.168428791 0, -13344840.85456794 4353565.157429534 0, -13344780.34860836 4353545.236227816 0, -13344769.75338461 4353534.707697798 0, -13344747.50338164 4353471.536369082 0, -13344765.51521159 4353445.215117358 0, -13344908.55059934 4353287.288961926 0, -13345142.70483536 4353039.876029254 0))",0.44312438685878935
8,Mixed Pasture,2.12384657,4052,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,39.95,4.699085771,9.98,0.0,0.0,0.263052446,1.64407779,1.64407779,0.91621920746835,0.0,0.0,0.135653981211955,0.77339498682131,0.773128571931332,1.945909021149773,0.0,0.0,0.288108242703856,1.642572290015635,1.642006465665358,"POLYGON Z ((-13346122.21908504 4349115.141400885 0, -13346024.47827551 4349112.18140549 0, -13346026.06750276 4349081.595298536 0, -13346028.45145156 4349074.688968969 0, -13346037.9872598 4349069.755642713 0, -13346234.26355436 4349072.715581906 0, -13346232.26505425 4349154.607509687 0, -13346125.3976655 4349154.607336509 0, -13346122.21908504 4349115.141400885 0))",0.4330661245721579
9,Mixed Pasture,64.96463472,2834,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,1222.12,4.699085771,305.27,63.48656086,0.0,5.396357673,39.67910053,0.0,0.916218625130286,0.976569491157552,0.0,0.090978142455845,0.610220716475068,0.0,59.52180830524962,63.44248027174665,0.0,5.910361792148096,39.64276594437947,0.0,"POLYGON Z ((-13318888.56833607 4285605.498173694 0, -13319310.78771519 4285606.15212727 0, -13319314.2310843 4285607.132922911 0, -13319317.40960656 4285612.037336401 0, -13319317.67451372 4286464.450804395 0, -13319318.73404848 4286510.228591371 0, -13319316.08526408 4286515.133329069 0, -13319310.25790494 4286517.749170903 0, -13318883.80040128 4286515.787224518 0, -13318878.23796139 4286511.536461391 0, -13318876.64874894 4286501.073073199 0, -13318876.91357811 4285617.268645471 0, -13318879.82731414 4285610.402477755 0, -13318884.33027564 4285606.15202705 0, -13318888.56833607 4285605.498173694 0))",0.4323311625364585
