,Crop2014,Acres,FID,County,PPIC_Regio,Crop_PPIC,Price,Rotations,AdjustedPr,FieldCropP,WaterConsu,SavedWater,SavedWat_1,TNC,Krat,Kitfox,Corridors,CPAD,TNC_Total,Krat_Total,Kitfox_Tot,Corridors_,CPAD_Total,geometry,outcome
10,Mixed Pasture,1.68099699,14446,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,31.62,4.61,7.75,0.367293356018635,0.0,100.0,100.0,0.0,57.0,0.0,1.68099699,1.68099699,0.0,0.9581682843,"POLYGON Z ((-13274847.59121055 4213601.963179176 0, -13274850.24005887 4213588.320872682 0, -13274897.38880245 4213588.970587502 0, -13274911.69228053 4213587.671279809 0, -13274928.11484489 4213571.430545823 0, -13274939.23989677 4213568.182412463 0, -13274939.76967227 4213740.984772692 0, -13274818.98414356 4213610.408289653 0, -13274826.93052275 4213609.109058551 0, -13274834.8769451 4213609.109030914 0, -13274842.82336649 4213609.109120194 0, -13274847.59121055 4213601.963179176 0))",42.894548892669775
11,Mixed Pasture,4.14515739,12334,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,77.98,4.61,19.11,0.905674326905305,0.0,100.0,100.0,0.0,13.66666667,0.0,4.14515739,4.14515739,0.0,0.566504843438172,"POLYGON Z ((-13275106.64421241 4213468.789855665 0, -13275106.64421264 4213366.799698643 0, -13275108.23358829 4213364.850830518 0, -13275115.97030006 4213365.610989882 0, -13275335.50092611 4213368.748501879 0, -13275343.44732541 4213370.697356313 0, -13275350.33425174 4213377.843188376 0, -13275350.33419273 4213421.367493706 0, -13275348.74490928 4213466.841005883 0, -13275348.16487746 4213466.596630132 0, -13275348.21518153 4213468.140202239 0, -13275337.61993847 4213472.68756047 0, -13275109.8228169 4213470.089102281 0, -13275106.64421241 4213468.789855665 0))",35.76205683281755
12,Mixed Pasture,18.48025174,17396,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,347.65,4.61,85.19,4.037383354739032,0.0,100.0,100.0,0.0,4.5,0.0,18.48025174,18.48025174,0.0,0.8316113283,"POLYGON Z ((-13275106.11447046 4213650.035831685 0, -13275107.1740245 4213507.11760254 0, -13275136.84057888 4213505.818368331 0, -13275137.90009023 4213497.37323485 0, -13275135.25135304 4213494.774683036 0, -13275135.25139478 4213479.833446408 0, -13275350.33420279 4213480.483019705 0, -13275350.3342439 4213624.050644304 0, -13275351.9234441 4213631.846142916 0, -13275357.22116354 4213630.546896589 0, -13275356.69137266 4213550.642505682 0, -13275441.98281221 4213549.992824073 0, -13275443.57215626 4213445.403458485 0, -13275362.51865871 4213444.753795369 0, -13275354.57230824 4213444.104256941 0, -13275355.63184516 4213376.543848107 0, -13275358.28057887 4213364.201231008 0, -13275621.04194137 4213366.799640319 0, -13275621.57173919 4213407.075914529 0, -13275631.10742072 4213409.674345449 0, -13275631.63722966 4213659.780411452 0, -13275111.41209858 4213652.634346136 0, -13275106.11447046 4213650.035831685 0))",34.756230559123175
13,Mixed Pasture,17.06968671,11406,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,321.12,4.61,78.69,3.72933086259437,0.0,100.0,100.0,0.0,0.0,0.0,17.06968671,17.06968671,0.0,0.0,"POLYGON Z ((-13247559.58531258 4193883.350169128 0, -13247843.06512186 4193880.771450419 0, -13247848.36266166 4193882.068530929 0, -13247854.71978592 4193887.256259684 0, -13247862.56189463 4193892.928576326 0, -13247860.41294615 4194037.095292642 0, -13247858.45204877 4194168.652147201 0, -13247856.30901572 4194172.587079031 0, -13247849.95201444 4194172.586989897 0, -13247845.71389149 4194173.884021059 0, -13247843.065072 4194177.774987743 0, -13247842.00562435 4194216.684251426 0, -13247840.94602759 4194232.248141506 0, -13247840.3727468 4194233.791772295 0, -13247756.1843495 4194235.490603102 0, -13247596.97530122 4194233.646053134 0, -13247594.07750253 4194231.599599746 0, -13247585.60132748 4194226.411602033 0, -13247576.59539869 4194218.629716857 0, -13247572.88700785 4194208.253910477 0, -13247568.11923997 4194193.987085913 0, -13247567.58941532 4194181.017423312 0, -13247567.0596744 4194083.74458919 0, -13247568.64908024 4194057.805418058 0, -13247565.47045612 4194042.241849578 0, -13247562.82161207 4194033.163133167 0, -13247554.87521998 4194027.975371928 0, -13247552.75608974 4193889.201713846 0, -13247559.58531258 4193883.350169128 0))",33.95488847709907
14,Mixed Pasture,11.18830624,14736,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,210.48,4.61,51.58,2.444515006895636,0.0,100.0,100.0,0.0,0.0,0.0,11.18830624,11.18830624,0.0,0.0,"POLYGON Z ((-13243940.86175426 4185142.986946491 0, -13244219.648327 4185141.36704753 0, -13244230.90572572 4185147.846649801 0, -13244231.56790275 4185354.385370003 0, -13244205.74214335 4185363.295022099 0, -13243944.17268088 4185368.964798753 0, -13243931.59093895 4185361.675159738 0, -13243926.95543665 4185347.905762006 0, -13243926.29335243 4185147.846635864 0, -13243940.86175426 4185142.986946491 0))",33.740752501149274
15,Mixed Pasture,5.13894338,12832,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,96.67,4.61,23.69,1.122732852139543,0.0,0.0,100.0,0.0,100.0,0.0,0.0,5.13894338,0.0,5.13894338,"POLYGON Z ((-13232527.69078234 4214405.468855524 0, -13232527.78465075 4214269.268383574 0, -13232566.62344152 4214268.964995644 0, -13232578.05672103 4214268.875756116 0, -13232577.29385836 4214269.811334393 0, -13232577.29382955 4214278.231315714 0, -13232576.14949751 4214289.4581889 0, -13232575.00522337 4214296.007091247 0, -13232575.38662976 4214302.556028692 0, -13232580.34539143 4214303.023870188 0, -13232582.63409984 4214303.023795325 0, -13232652.43837334 4214298.813776816 0, -13232658.16003278 4214297.878259194 0, -13232660.83007262 4214294.135909424 0, -13232662.35583205 4214284.312482646 0, -13232660.44864811 4214276.828067243 0, -13232655.10845807 4214263.730169319 0, -13232650.53113031 4214259.987854216 0, -13232650.14964358 4214255.310128568 0, -13232659.6856985 4214255.310014221 0, -13232687.12024639 4214256.374783726 0, -13232771.89429482 4214254.336262173 0, -13232771.4488605 4214368.513645702 0, -13232766.16839742 4214371.309962315 0, -13232766.1897654 4214373.786962988 0, -13232723.93398289 4214405.468831379 0, -13232527.69078234 4214405.468855524 0))",33.52045547535659
16,Mixed Pasture,3.5543559,12624,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,66.86,4.61,16.39,0.776766207115539,0.0,100.0,100.0,0.0,0.0,0.0,3.5543559,3.5543559,0.0,0.0,"POLYGON Z ((-13250249.64769546 4192353.949524861 0, -13250236.93337539 4192352.32857823 0, -13250227.92752196 4192352.652760501 0, -13250221.83516202 4192355.246175488 0, -13250219.01729952 4192357.127355832 0, -13250218.35516875 4192357.134296682 0, -13250211.76974693 4192360.757579237 0, -13250208.85603549 4192362.054355821 0, -13250155.88003641 4192359.784932886 0, -13250152.70141665 4192355.894717287 0, -13250151.90681571 4192352.328627037 0, -13250151.64186782 4192303.375914917 0, -13250152.70143106 4192294.946990173 0, -13250155.87998457 4192292.677657186 0, -13250158.8285101 4192293.743872634 0, -13250180.24901355 4192293.001942316 0, -13250266.33508984 4192294.298634809 0, -13250365.93021075 4192293.001890902 0, -13250370.84969592 4192295.008843003 0, -13250372.55215139 4192300.458129467 0, -13250371.80629511 4192518.639479025 0, -13250369.37364778 4192518.639434856 0, -13250332.52052175 4192518.801721509 0, -13250328.84681294 4192516.045916238 0, -13250326.99274391 4192410.034582885 0, -13250328.5820316 4192380.857367219 0, -13250328.58209339 4192369.186432454 0, -13250327.78733038 4192364.323580925 0, -13250323.38638082 4192362.815399628 0, -13250268.45417607 4192362.054274437 0, -13250260.772587 4192361.081692494 0, -13250254.04296325 4192356.767329305 0, -13250249.64769546 4192353.949524861 0))",33.46279436785259
17,Mixed Pasture,3.48532659,5844,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,65.57,4.61,16.07,0.761600545963801,0.0,100.0,100.0,0.0,0.0,0.0,3.48532659,3.48532659,0.0,0.0,"POLYGON Z ((-13247390.11957115 4194029.272254136 0, -13247390.1743817 4194019.76121108 0, -13247390.94385578 4193886.006761545 0, -13247499.50162156 4193883.896694724 0, -13247509.37286532 4193883.806869001 0, -13247530.4413911 4193883.883258857 0, -13247530.48045385 4193884.746333297 0, -13247536.33352924 4193884.662409157 0, -13247538.98236795 4194025.381321946 0, -13247536.85922303 4194028.413550238 0, -13247533.65445629 4194029.143337651 0, -13247528.92460341 4194027.432625249 0, -13247392.23867969 4194029.920794963 0, -13247390.11957115 4194029.272254136 0))",33.46026675766064
18,Mixed Pasture,2.94292455,14039,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,55.36,4.61,13.57,0.643118818215855,0.0,100.0,100.0,0.0,0.0,0.0,2.94292455,2.94292455,0.0,0.0,"POLYGON Z ((-13275003.87067487 4213655.232936411 0, -13275014.99570166 4213652.634428805 0, -13275072.2097877 4213654.583317378 0, -13275073.79904993 4213742.284053649 0, -13275071.68007479 4213786.45954081 0, -13275072.20975535 4213848.175647155 0, -13275035.12657287 4213846.876349685 0, -13274952.48392655 4213755.9265041 0, -13274952.48387849 4213692.911669393 0, -13275004.40045657 4213673.422698059 0, -13275003.87067487 4213655.232936411 0))",33.440519803035976
19,Mixed Pasture,4.39846832,12591,Tulare,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,82.74,4.958492277,21.81,1.033634592873087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON Z ((-13253081.40940768 4275508.18046757 0, -13253269.56019582 4275507.690904681 0, -13253269.21080047 4275616.930499635 0, -13253011.31882985 4275620.284204511 0, -13253010.24060474 4275536.514828016 0, -13253016.6435572 4275527.960543667 0, -13253053.99439729 4275530.592650236 0, -13253072.66972772 4275530.592693614 0, -13253080.13985425 4275518.748208014 0, -13253081.40940768 4275508.18046757 0))",0.17227243214551452
20,Miscellaneous Grasses,76.50023735,18613,Kern,KR,alfalfa-pasture,347.11453739999996,2.352941176,816.7400881,62480.81,4.61,352.67,16.713980369947347,100.0,100.0,100.0,0.0,100.0,76.50023735,76.50023735,76.50023735,0.0,76.50023735,"POLYGON Z ((-13306631.76932307 4253320.325709109 0, -13306628.19346233 4253318.369732234 0, -13306628.0722065 4253317.996795338 0, -13306627.91089744 4253311.643752176 0, -13306627.79613786 4253307.123047085 0, -13306628.59068906 4252921.807841904 0, -13306628.59064085 4252849.929372512 0, -13306630.57736675 4252846.995663714 0, -13306635.74238842 4252846.017626068 0, -13306721.54642579 4252846.791332768 0, -13307601.01364882 4252843.411198993 0, -13307605.60201811 4252845.528761725 0, -13307609.17789133 4252847.973567476 0, -13307611.01865174 4252851.474456979 0, -13307611.41919702 4252877.658764146 0, -13307609.97252065 4252954.568879467 0, -13307610.36988479 4253214.704882868 0, -13307609.30352803 4253308.873044828 0, -13307607.50513507 4253308.890405733 0, -13307607.58867096 4253316.902865925 0, -13307607.19128559 4253322.770601996 0, -13307604.01272481 4253325.215656128 0, -13307095.83966846 4253325.215600771 0, -13306930.95170333 4253320.325689533 0, -13306656.80047504 4253323.748582661 0, -13306631.76932307 4253320.325709109 0))",69.45233006165789
21,Miscellaneous Grasses,34.36137726,17723,Kern,KR,alfalfa-pasture,347.11453739999996,2.352941176,816.7400881,28064.31,4.61,158.41,7.507476197020894,100.0,100.0,100.0,0.0,100.0,34.36137726,34.36137726,34.36137726,0.0,34.36137726,"POLYGON Z ((-13304950.24481468 4264075.668946803 0, -13305543.57687572 4264067.837428791 0, -13305558.4101496 4264073.058435241 0, -13305564.76730191 4264096.552956261 0, -13305564.76731633 4264411.123688105 0, -13305559.46964029 4264415.039571307 0, -13304968.25664843 4264422.871328562 0, -13304960.83995177 4264412.428989981 0, -13304950.24477519 4264092.637137802 0, -13304950.24481468 4264075.668946803 0))",67.91791269950349
