FID_Kern_fields,TNC,Kitfox,Krat,Corridors,CPAD
3342,0,100,100,0,100
3347,0,100,100,0,0
3376,0,100,100,0,0
3380,0,100,0,0,100
3402,0,100,100,0,100
3442,0,100,100,0,100
3446,0,100,100,0,0
3447,0,100,100,0,0
3478,49.66666667,100,100,0,34.66666667
3499,46,100,100,0,100
3504,0,100,100,0,100
3533,0,100,100,0,100
3563,100,100,100,0,100
3578,100,100,100,0,100
3579,0,100,100,0,100
3612,100,100,100,0,100
3655,0,100,0,0,100
3658,0,100,100,0,100
3666,0,100,100,0,100
3669,100,100,100,0,100
3698,0,100,0,0,0
3710,0,100,100,0,100
3737,0,100,100,0,100
3768,0,100,100,0,100
3774,0,100,100,0,100
3814,0,100,100,0,100
3820,100,100,100,0,100
3835,0,100,100,0,100
3838,100,100,100,0,100
3865,0,100,100,0,12
3892,0,100,100,0,100
3903,0,100,100,0,0
3939,0,100,100,0,100
3962,0,100,100,0,100
3989,0,100,100,0,97.5
3999,0,100,100,0,0
4007,0,100,100,15.5,100
4058,0,100,100,0,0
4080,0,100,100,0,100
4084,0,100,0,100,100
4087,0,100,100,0,100
4094,0,100,100,0,0
4104,100,100,100,0,100
4107,0,100,100,0,100
4111,0,100,100,0,0
4129,0,100,4.5,0,0
4144,0,100,100,0,100
4214,0,100,100,0,100
4222,0,100,100,0,100
4234,0,100,100,0,100
4235,0,100,100,36,100
4251,100,100,100,0,100
4253,0,100,100,0,82
4258,2.5,100,100,0,100
4265,0,100,100,0,0
4281,0,100,100,0,100
4291,69,100,100,0,100
4299,0,100,100,0,99
4309,0,100,100,0,0
4326,0,100,0,0,100
4342,100,100,100,0,100
4361,0,100,99.5,0,0
4374,0,100,100,0,100
4389,0,100,100,0,100
4398,0,100,0,0,0
4413,0,100,100,0,100
4417,0,100,100,0,100
4429,100,100,100,0,100
4444,0,100,100,0,0
4478,0,100,100,0,100
4485,0,100,100,0,0
4516,0,100,100,0,100
4523,100,100,100,0,100
4526,70.5,100,100,100,100
4559,0,100,100,0,100
4584,0,100,100,0,100
4586,0,100,100,0,0
4591,0,100,100,0,100
4633,0,100,100,0,45
4651,100,100,100,0,100
4668,99,100,100,0,100
4676,0,100,100,0,100
4693,0,100,100,0,100
4696,0,100,100,0,0
4702,0,100,100,0,0
4719,0,100,100,0,100
4722,0,100,0,0,100
4731,0,100,100,0,100
4742,0,100,100,0,100
4765,0,100,100,0,100
4766,0,100,100,0,0
4790,0,100,100,0,68
4806,0,100,33.66666667,0,0
4853,0,100,100,0,100
4868,0,100,100,0,0
4874,0,100,100,0,11
4897,0,100,100,0,17.66666667
4903,0,100,100,0,0
4904,0,100,0,0,100
4944,0,100,100,0,100
4952,0,100,100,0,100
5020,0,100,15,0,100
5034,0,100,100,0,100
5057,0,100,100,0,0
5059,0,100,100,0,100
5078,0,100,100,0,100
5095,0,100,0,15,100
5110,0,100,100,0,100
5117,0,100,100,0,100
5132,0,100,100,0,100
5137,100,100,100,0,100
5158,0,100,100,0,100
5167,0,100,100,0,100
5176,100,100,100,0,100
5184,0,100,100,0,100
5247,100,100,100,0,100
5288,0,100,100,0,0
5302,0,100,100,0,0
5318,0,100,0,19,100
5326,0,100,100,0,100
5339,0,100,100,0,100
5346,0,100,100,0,0
5350,0,100,100,0,100
5366,0,100,100,0,100
5367,0,100,100,18,100
5370,0,100,100,0,48.5
5373,0,100,100,0,100
5388,0,100,100,0,100
5402,0,100,100,0,100
5406,0,100,100,0,0
5415,0,100,100,0,0
5419,0,100,100,0,100
5429,0,100,100,0,100
5433,0,100,100,100,100
5439,0,100,100,0,13
5440,0,100,100,0,0
5447,0,100,100,0,39.33333333
5455,0,100,0,0,0
5456,0,100,100,0,0
5457,0,100,0,0,100
5472,0,100,100,0,100
5530,0,100,100,0,100
5533,0,100,100,0,0
5545,0,100,100,0,100
5575,100,100,100,0,100
5619,0,100,100,0,99.5
5627,0,100,100,0,100
5660,0,100,100,58,100
5664,0,100,100,100,100
5694,100,100,100,0,100
5701,0,100,100,0,100
5714,0,100,100,40,100
5747,0,100,71,0,0
5760,0,100,100,0,100
5789,0,100,100,0,100
5800,0,100,0,0,100
5801,0,100,100,0,100
5817,0,100,0,0,100
5840,0,100,0,0,100
5845,0,100,100,0,100
5869,0,100,100,0,6
5902,100,100,100,0,100
5905,0,100,100,0,0
5915,100,100,100,0,100
5943,0,100,100,0,100
5961,0,100,100,0,0
6001,0,100,100,0,100
6045,0,100,100,0,100
6046,0,100,100,0,100
6051,0,100,100,0,100
6077,0,100,100,0,0
6096,0,100,100,0,100
6149,0,100,100,0,0
6152,0,100,100,0,100
6167,0,100,100,0,18.66666667
6169,0,100,100,0,100
6201,0,100,100,0,0
6209,0,100,100,0,100
6216,100,100,100,0,100
6220,72.5,100,100,0,100
6227,0,100,100,0,0
6258,0,100,100,0,0
6269,0,100,100,0,100
6293,0,100,100,0,100
6300,0,100,100,0,100
6301,68.33333333,100,100,0,100
6313,100,100,100,0,100
6349,0,100,0,0,100
6352,0,100,100,0,0
6359,0,100,100,0,100
6363,0,100,100,0,100
6366,0,100,100,0,100
6412,0,100,100,0,100
6420,0,100,100,0,100
